iter	Logloss
401	0.3458528005
402	0.3458258563
403	0.3458013126
404	0.3457394066
405	0.3457297401
406	0.3456891426
407	0.3456553422
408	0.3456113052
409	0.3455713203
410	0.3455553485
411	0.3455311104
412	0.3454967457
413	0.3454486356
414	0.3454282166
415	0.345352559
416	0.3453353471
417	0.3452741788
418	0.3452347242
419	0.345206102
420	0.3451858407
421	0.3451335667
422	0.3451246592
423	0.3451051292
424	0.3450877862
425	0.3450499732
426	0.3449908051
427	0.3449629793
428	0.3449277704
429	0.3448978218
430	0.3448424716
431	0.344822081
432	0.3447953182
433	0.3447600876
434	0.3447341907
435	0.3447251358
436	0.3446700928
437	0.344630039
438	0.344596173
439	0.344573598
440	0.3445390847
441	0.3445018829
442	0.3444486357
443	0.3444021635
444	0.3443902059
445	0.3443700767
446	0.3443494026
447	0.3442779756
448	0.3442572759
449	0.3442261752
450	0.3441776864
451	0.3441252424
452	0.3440577859
453	0.3440504827
454	0.3439974382
455	0.3439730241
456	0.3439329301
457	0.3438868136
458	0.3438508591
459	0.3438220355
460	0.3437912319
461	0.3437471844
462	0.3437004478
463	0.343681912
464	0.3436566166
465	0.34362746
466	0.3435956888
467	0.3435573796
468	0.3435486714
469	0.3435233127
470	0.3434747083
471	0.3434440251
472	0.3434164625
473	0.343401207
474	0.3433392089
475	0.3432969724
476	0.3432688332
477	0.3432223871
478	0.343199739
479	0.3431717719
480	0.3431372623
481	0.3431225308
482	0.3430937908
483	0.3430465196
484	0.3430225926
485	0.3429830755
486	0.3429593394
487	0.342949205
488	0.3429263398
489	0.3428826644
490	0.342833841
491	0.3428109446
492	0.3427852052
493	0.3427465228
494	0.3427321643
495	0.3426917022
496	0.3426633086
497	0.3426304196
498	0.3426046909
499	0.3425939482
500	0.3425598967
501	0.3425417218
502	0.3425066235
503	0.3424975432
504	0.3424886829
505	0.3424647583
506	0.3424435453
507	0.3424135442
508	0.3423731631
509	0.3423337627
510	0.3423213326
511	0.3423070314
512	0.3422731446
513	0.3422567482
514	0.3422422307
515	0.3422113638
516	0.342174606
517	0.3421542522
518	0.3421416994
519	0.3420879762
520	0.3420594254
521	0.3420068741
522	0.3419866257
523	0.3419462309
524	0.3419264794
525	0.3418752838
526	0.3418023762
527	0.3417874023
528	0.3417567298
529	0.3416932584
530	0.3416662208
531	0.3416255878
532	0.3415858459
533	0.3415717137
534	0.3415451058
535	0.3415242259
536	0.3415120396
537	0.3414690354
538	0.3414332699
539	0.3414008795
540	0.3413598329
541	0.3413298272
542	0.3413172144
543	0.3412999275
544	0.3412641414
545	0.3412354221
546	0.3412139743
547	0.3411869166
548	0.3411544799
549	0.3411360028
550	0.3411028641
551	0.3410688256
552	0.3410290575
553	0.3409781945
554	0.340941174
555	0.3408938153
556	0.340881535
557	0.3408238461
558	0.3407760911
559	0.3407320924
560	0.3407023418
561	0.3406881311
562	0.3406589036
563	0.3406206275
564	0.3405861975
565	0.3405475582
566	0.3405058407
567	0.3404847399
568	0.3404629542
569	0.3404260142
570	0.3403825703
571	0.3403415477
572	0.3403107642
573	0.3402991122
574	0.3402718355
575	0.3402560688
576	0.3402373258
577	0.340205421
578	0.3401758521
579	0.3401481993
580	0.3401309019
581	0.3400702217
582	0.3400265926
583	0.3400125515
584	0.3399915139
585	0.3399746595
586	0.3399401614
587	0.3399119377
588	0.3398709235
589	0.33985708
590	0.3398210293
591	0.3398120907
592	0.3397811442
593	0.3397434472
594	0.3397116305
595	0.3396724342
596	0.3396473268
597	0.3396240561
598	0.3396041316
599	0.3395574901
600	0.3395366797
601	0.3395170046
602	0.3394830042
603	0.3394502838
604	0.3394315646
605	0.3394180274
606	0.3394082088
607	0.3393543111
608	0.3393510992
609	0.3393372008
610	0.3393051202
611	0.3392535942
612	0.3392252338
613	0.3392077558
614	0.3391845638
615	0.3391729773
616	0.3391559449
617	0.339137336
618	0.3391198804
619	0.3391021449
620	0.3390693383
621	0.3390300784
622	0.3390080869
623	0.3389932463
624	0.3389616879
625	0.3389491696
626	0.3389344858
627	0.3389234826
628	0.3389017193
629	0.3388740548
630	0.3388596942
631	0.3388293353
632	0.3387871004
633	0.3387732232
634	0.3387493967
635	0.3387094877
636	0.3386932383
637	0.3386671781
638	0.3386590006
639	0.3386283766
640	0.3385921408
641	0.3385625482
642	0.3385321471
643	0.3385092163
644	0.3384792653
645	0.338438862
646	0.3384240438
647	0.3384124
648	0.3383875717
649	0.3383679147
650	0.3383615612
651	0.3383261294
652	0.3382902834
653	0.3382590747
654	0.33821288
655	0.3381879542
656	0.3381834541
657	0.3381645002
658	0.3381369319
659	0.3381243939
660	0.3380814501
661	0.338049882
662	0.3380286436
663	0.3379977246
664	0.3379736806
665	0.3379364216
666	0.3379112111
667	0.3378854611
668	0.337860274
669	0.3378161086
670	0.3378098314
671	0.3377783442
672	0.3377466463
673	0.3377104961
674	0.3376529178
675	0.3376272231
676	0.3376069669
677	0.3376045008
678	0.3375763384
679	0.3375517992
680	0.3375302678
681	0.3374835985
682	0.3374668898
683	0.3374422038
684	0.3374236071
685	0.3374036953
686	0.3373723338
687	0.3373492412
688	0.3373210989
689	0.3373079426
690	0.3372866466
691	0.3372596906
692	0.337240178
693	0.3372126963
694	0.3371715881
695	0.3371537467
696	0.3371353769
697	0.3370991597
698	0.3370732283
699	0.337061903
700	0.3370357295
701	0.3369995268
702	0.3369685673
703	0.3369535969
704	0.3369344003
705	0.3369137356
706	0.3368935688
707	0.3368652695
708	0.3368358556
709	0.3368285216
710	0.3368122188
711	0.3367761539
712	0.336750082
713	0.3367235214
714	0.3367099195
715	0.3366854167
716	0.3366477309
717	0.3366123855
718	0.3365882497
719	0.3365746861
720	0.3365480895
721	0.3365210714
722	0.336512641
723	0.336497601
724	0.3364647809
725	0.3364352412
726	0.3364036428
727	0.3363979217
728	0.336367715
729	0.3363459308
730	0.3363078909
731	0.3362823012
732	0.3362581828
733	0.3362242381
734	0.3362116871
735	0.3361824909
736	0.3361570069
737	0.3361367406
738	0.3361134421
739	0.3360929818
740	0.3360823827
741	0.3360669072
742	0.3360500025
743	0.3360210679
744	0.3360028623
745	0.3360020014
746	0.3359695585
747	0.3359389334
748	0.3359091516
749	0.3358738668
750	0.3358614148
751	0.3358410736
752	0.3358217448
753	0.3357964421
754	0.3357690447
755	0.3357338001
756	0.3357093466
757	0.3356863516
758	0.3356560368
759	0.3356358725
760	0.3356048238
761	0.3355966779
762	0.3355804979
763	0.3355710283
